list_name,name,label,prov_id,dist_id,post_id,external_id
access,access_neighbour,Pela parcela do vizinho,,,,fixed
access,access_public,Via de acesso publico ou comunitário,,,,fixed
activities,assoc_activities,Actividades de associativismo,,,,fixed
activities,drp,Actividades de DRP (delimitação comunitária),,,,fixed
activities,georef_return,Actividades de georeferenciamento e/ou devolução,,,,fixed
activities,internal,Encontros ou outras actividades internos,,,,fixed
activities,land_plans,Plano de Uso de Terra,,,,fixed
activities,limits_village,Identificação de limites de povoados,,,,fixed
activities,occ,Objecções e Correções,,,,fixed
activities,other,Outras,,,,fixed
activities,register_parcels,Registo de parcelas,,,,fixed
activities,register_people,Registo de pessoas,,,,fixed
activities,sensitisation,Sensibilização,,,,fixed
ages,adult,Entre 30 - 50 anos,,,,fixed
ages,elder,50+ anos,,,,fixed
ages,minor,Menos de 18 anos,,,,fixed
ages,youth,Entre 18 - 30 anos,,,,fixed
civil,de_facto_union,União de Facto                            ,,,,fixed
civil,divorced,Divorciado (a)                                              ,,,,fixed
civil,married,Casado (a)                     ,,,,fixed
civil,single,Solteiro (a)                           ,,,,fixed
civil,widowed,Viúvo (a)                     ,,,,fixed
conflict_types,access,Acesso,,,,fixed
conflict_types,limits,Limites,,,,fixed
conflict_types,other,Outro,,,,fixed
conflict_types,title,Titularidade,,,,fixed
conflict_types,transfer,Trespasse,,,,fixed
control,pc_1,P1,,,,fixed
control,pc_2,P2,,,,fixed
control,pc_3,P3,,,,fixed
control,pc_4,P4,,,,fixed
control,pc_5,P5,,,,fixed
crops,banana,Banana,,,,fixed
crops,boer_bean,Feijão Boer,,,,fixed
crops,butter_bean,Feijão Manteiga,,,,fixed
crops,cassava,Mandioca,,,,fixed
crops,cotton,Algodão,,,,fixed
crops,cute_bean,Feijão Cute,,,,fixed
crops,garlic,Alho,,,,fixed
crops,groundnuts,Amendoim,,,,fixed
crops,holoco_bean,Feijão Holoco,,,,fixed
crops,jogo_bean,Feijão Jogo,,,,fixed
crops,maize,Milho,,,,fixed
crops,millet,Mexoera,,,,fixed
crops,nhemba_bean,Feijão Nhemba,,,,fixed
crops,onion,Cebola,,,,fixed
crops,other,Outra,,,,fixed
crops,potato,Batata,,,,fixed
crops,rice,Arroz,,,,fixed
crops,sesame,Gergelim,,,,fixed
crops,sorghum,Mapira,,,,fixed
crops,sugarcane,Cana de açucar,,,,fixed
crops,veg,Horticulturas,,,,fixed
delimit_type,correction,Correcção de limites,,,,fixed
delimit_type,new,Delimitação nova,,,,fixed
deliverables,assoc_statutes,Estabelecimento de Associações - submissão ao BR,,,,fixed
deliverables,baseline,Conclusão de Estudo de Linha de Base,,,,fixed
deliverables,delcom_request,Pedido de reconhecimento de delimitação de terra comunitária ,,,,fixed
deliverables,duats_delivered,Entrega de Declarações de DUAT,,,,fixed
deliverables,endline,Conclusão de Estudo de Linha de Fim,,,,fixed
deliverables,inception,Relatório de Incepção,,,,fixed
deliverables,lup_complete,Planos de Gestão e Uso de Terra e RN,,,,fixed
deliverables,occ_finished,Conclusão do Processo de OCC,,,,fixed
deliverables,rel_fim,Relatório Final,,,,fixed
deliverables,rel_mens,Relatórios Mensais,,,,fixed
deliverables,rel_trim,Relatórios Trimestrais,,,,fixed
deliverables,training,Relatório de Treinamento,,,,fixed
descriptions,bush,Matagal,,,,fixed
descriptions,fields_lowland,Machambas de zonas baixa,,,,fixed
descriptions,fields_upland,Machambas de zonas alta,,,,fixed
descriptions,forest_dense,Floresta densa,,,,fixed
descriptions,forest_open,Floresta aberta,,,,fixed
descriptions,grazing,Zona de pastagem,,,,fixed
descriptions,other,Outra,,,,fixed
descriptions,residential,Zona Habitacional,,,,fixed
descriptions,wetland,Zona Pantanosa,,,,fixed
districts,D0102,CUAMBA,P01,NIASSA,,
districts,D0103,LAGO,P01,NIASSA,,
districts,D0104,CHIMBONILA,P01,NIASSA,,
districts,D0105,MAJUNE,P01,NIASSA,,
districts,D0106,MANDIMBA,P01,NIASSA,,
districts,D0107,MARRUPA,P01,NIASSA,,
districts,D0108,MAUA,P01,NIASSA,,
districts,D0109,MAVAGO,P01,NIASSA,,
districts,D0110,MECANHELAS,P01,NIASSA,,
districts,D0111,MECULA,P01,NIASSA,,
districts,D0112,METARICA,P01,NIASSA,,
districts,D0113,MUEMBE,P01,NIASSA,,
districts,D0114,NGAUMA,P01,NIASSA,,
districts,D0115,NIPEPE,P01,NIASSA,,
districts,D0116,SANGA,P01,NIASSA,,
districts,D0117,LICHINGA,P01,NIASSA,,
districts,D0202,ANCUABE,P02,C.DELGADO,,
districts,D0203,BALAMA,P02,C.DELGADO,,
districts,D0204,CHIURE,P02,C.DELGADO,,
districts,D0205,IBO,P02,C.DELGADO,,
districts,D0206,MACOMIA,P02,C.DELGADO,,
districts,D0207,MECUFI,P02,C.DELGADO,,
districts,D0208,MELUCO,P02,C.DELGADO,,
districts,D0209,MOCIMBOA DA PRAIA,P02,C.DELGADO,,
districts,D0210,MONTEPUEZ,P02,C.DELGADO,,
districts,D0211,MUEDA,P02,C.DELGADO,,
districts,D0212,MUIDUMBE,P02,C.DELGADO,,
districts,D0213,NAMUNO,P02,C.DELGADO,,
districts,D0214,NANGADE,P02,C.DELGADO,,
districts,D0215,PALMA,P02,C.DELGADO,,
districts,D0216,PEMBA,P02,C.DELGADO,,
districts,D0217,QUISSANGA,P02,C.DELGADO,,
districts,D0218,METUGE,P02,C.DELGADO,,
districts,D0302,ANGOCHE,P03,NAMPULA,,
districts,D0303,ERATI,P03,NAMPULA,,
districts,D0304,ILHA DE MOCAMBIQUE,P03,NAMPULA,,
districts,D0305,LALAUA,P03,NAMPULA,,
districts,D0306,MALEMA,P03,NAMPULA,,
districts,D0307,MECONTA,P03,NAMPULA,,
districts,D0308,MECUBURI,P03,NAMPULA,,
districts,D0309,MEMBA,P03,NAMPULA,,
districts,D0310,MOGINCUAL,P03,NAMPULA,,
districts,D0311,MOGOVOLAS,P03,NAMPULA,,
districts,D0312,MOMA,P03,NAMPULA,,
districts,D0313,MONAPO,P03,NAMPULA,,
districts,D0314,MOSSURIL,P03,NAMPULA,,
districts,D0315,MUECATE,P03,NAMPULA,,
districts,D0316,MURRUPULA,P03,NAMPULA,,
districts,D0318,NACALA_A_VELHA,P03,NAMPULA,,
districts,D0319,NACAROA,P03,NAMPULA,,
districts,D0320,RAPALE,P03,NAMPULA,,
districts,D0321,RIBAUE,P03,NAMPULA,,
districts,D0322,LARDE,P03,NAMPULA,,
districts,D0323,NAMPULA,P03,NAMPULA,,
districts,D0324,NACALA,P03,NAMPULA,,
districts,D0325,LIUPO,P03,NAMPULA,,
districts,D0402,ALTO MOLOCUE,P04,ZAMBEZIA,,
districts,D0403,CHINDE,P04,ZAMBEZIA,,
districts,D0404,GILE,P04,ZAMBEZIA,,
districts,D0405,GURUE,P04,ZAMBEZIA,,
districts,D0406,ILE,P04,ZAMBEZIA,,
districts,D0407,INHASSUNGE,P04,ZAMBEZIA,,
districts,D0408,LUGELA,P04,ZAMBEZIA,,
districts,D0409,MAGANJA DA COSTA,P04,ZAMBEZIA,,
districts,D0410,MILANGE,P04,ZAMBEZIA,,
districts,D0411,MOCUBA,P04,ZAMBEZIA,,
districts,D0412,MOPEIA,P04,ZAMBEZIA,,
districts,D0413,MORRUMBALA,P04,ZAMBEZIA,,
districts,D0414,NAMACURRA,P04,ZAMBEZIA,,
districts,D0415,NAMARROI,P04,ZAMBEZIA,,
districts,D0416,NICOADALA,P04,ZAMBEZIA,,
districts,D0417,PEBANE,P04,ZAMBEZIA,,
districts,D0418,DERRE,P04,ZAMBEZIA,,
districts,D0419,MOCUBELA,P04,ZAMBEZIA,,
districts,D0420,MOLUMBO,P04,ZAMBEZIA,,
districts,D0421,MULEVALA,P04,ZAMBEZIA,,
districts,D0422,QUELIMANE,P04,ZAMBEZIA,,
districts,D0423,LUABO,P04,ZAMBEZIA,,
districts,D0502,ANGONIA,P05,TETE,,
districts,D0503,CAHORA_BASSA,P05,TETE,,
districts,D0504,CHANGARA,P05,TETE,,
districts,D0505,CHIFUNDE,P05,TETE,,
districts,D0506,CHIUTA,P05,TETE,,
districts,D0507,MACANGA,P05,TETE,,
districts,D0508,MAGOE,P05,TETE,,
districts,D0509,MARAVIA,P05,TETE,,
districts,D0510,MOATIZE,P05,TETE,,
districts,D0511,MUTARARA,P05,TETE,,
districts,D0512,DOA,P05,TETE,,
districts,D0514,TETE,P05,TETE,,
districts,D0515,TSANGANO,P05,TETE,,
districts,D0516,ZUMBO,P05,TETE,,
districts,D0517,MARARA,P05,TETE,,
districts,D0602,BARUE,P06,MANICA,,
districts,D0603,GONDOLA,P06,MANICA,,
districts,D0604,GURO,P06,MANICA,,
districts,D0605,MACHAZE,P06,MANICA,,
districts,D0606,MACOSSA,P06,MANICA,,
districts,D0607,MANICA,P06,MANICA,,
districts,D0608,MOSSURIZE,P06,MANICA,,
districts,D0609,SUSSUNDENGA,P06,MANICA,,
districts,D0610,TAMBARA,P06,MANICA,,
districts,D0611,CHIMOIO,P06,MANICA,,
districts,D0612,VANDUZI,P06,MANICA,,
districts,D0613,MACATE,P06,MANICA,,
districts,D0702,BUZI,P07,SOFALA,,
districts,D0703,CAIA,P07,SOFALA,,
districts,D0704,CHEMBA,P07,SOFALA,,
districts,D0705,CHERINGOMA,P07,SOFALA,,
districts,D0706,CHIBABAVA,P07,SOFALA,,
districts,D0707,DONDO,P07,SOFALA,,
districts,D0708,GORONGOSA,P07,SOFALA,,
districts,D0709,MACHANGA,P07,SOFALA,,
districts,D0710,MARINGUE,P07,SOFALA,,
districts,D0711,MARROMEU,P07,SOFALA,,
districts,D0712,MUANZA,P07,SOFALA,,
districts,D0713,NHAMATANDA,P07,SOFALA,,
districts,D0714,BEIRA,P07,SOFALA,,
districts,D0802,FUNHALOURO,P08,INHAMBANE,,
districts,D0803,GOVURO,P08,INHAMBANE,,
districts,D0804,HOMOINE,P08,INHAMBANE,,
districts,D0805,INHARRIME,P08,INHAMBANE,,
districts,D0806,INHASSORO,P08,INHAMBANE,,
districts,D0807,JANGAMO,P08,INHAMBANE,,
districts,D0808,MABOTE,P08,INHAMBANE,,
districts,D0809,MASSINGA,P08,INHAMBANE,,
districts,D0810,INHAMBANE,P08,INHAMBANE,,
districts,D0811,MORRUMBENE,P08,INHAMBANE,,
districts,D0812,PANDA,P08,INHAMBANE,,
districts,D0813,VILANKULO,P08,INHAMBANE,,
districts,D0814,ZAVALA,P08,INHAMBANE,,
districts,D0815,MAXIXE,P08,INHAMBANE,,
districts,D0902,BILENE,P09,GAZA,,
districts,D0903,CHIBUTO,P09,GAZA,,
districts,D0904,CHICUALACUALA,P09,GAZA,,
districts,D0905,CHIGUBO,P09,GAZA,,
districts,D0906,CHOKWE,P09,GAZA,,
districts,D0907,GUIJA,P09,GAZA,,
districts,D0908,MABALANE,P09,GAZA,,
districts,D0909,MANDLAKAZI,P09,GAZA,,
districts,D0910,MASSANGENA,P09,GAZA,,
districts,D0911,MASSINGIR,P09,GAZA,,
districts,D0912,XAI_XAI,P09,GAZA,,
districts,D0914,MAPAI,P09,GAZA,,
districts,D0915,CHONGOENE,P09,GAZA,,
districts,D0916,LIMPOPO,P09,GAZA,,
districts,D1002,BOANE,P10,MAPUTO,,
districts,D1003,MAGUDE,P10,MAPUTO,,
districts,D1004,MANHICA,P10,MAPUTO,,
districts,D1005,MARRACUENE,P10,MAPUTO,,
districts,D1006,MATUTUINE,P10,MAPUTO,,
districts,D1007,MOAMBA,P10,MAPUTO,,
districts,D1008,NAMAACHA,P10,MAPUTO,,
districts,D1009,MATOLA,P10,MAPUTO,,
districts,D1101,KAMPFUMU,P11,MAPUTO CIDADE,,
districts,D1102,NHLAMANKULU,P11,MAPUTO CIDADE,,
districts,D1103,KAMAXAKENI,P11,MAPUTO CIDADE,,
districts,D1104,KAMAVOTA,P11,MAPUTO CIDADE,,
districts,D1105,KAMUBUKWANA,P11,MAPUTO CIDADE,,
districts,D1106,KATEMBE,P11,MAPUTO CIDADE,,
districts,D1107,KANYAKA,P11,MAPUTO CIDADE,,
doc_types,draft,Rascunho,,,,fixed
doc_types,final,Final,,,,fixed
docs,approval_ask,Pedido de despacho,,,,fixed
